TOPIC,LEVELS,YEARS,NUMBER_OF_ARTICLES
Financial Reporting and Analysis,"[
  ""Level I"",
  ""Level II"",
  ""Level III""
]","[
  ""2023"",
  ""2024"",
  ""2021"",
  ""2018"",
  ""2020""
]",22
Quantitative Methods,"[
  ""Level II"",
  ""Level I""
]","[
  ""2024"",
  ""2023"",
  ""2020"",
  ""2021""
]",18
Equity Investments,"[
  ""Level II"",
  ""Level I"",
  ""Level III""
]","[
  ""2024"",
  ""2022"",
  ""2018"",
  ""2023"",
  ""Year Not Found""
]",24
Economics,"[
  ""Level II"",
  ""Level I""
]","[
  ""2024"",
  ""2023"",
  ""2021""
]",12
Ethical and Professional Standards,"[
  ""Level III"",
  ""Level I"",
  ""Level II""
]","[
  ""2021"",
  ""2023"",
  ""2024""
]",13
Alternative Investments,"[
  ""Level I"",
  ""Level II""
]","[
  ""2023"",
  ""2024""
]",16
Corporate Finance,"[
  ""Level I"",
  ""Level II""
]","[
  ""2024"",
  ""2023"",
  ""2022"",
  ""2021"",
  ""2020""
]",24
Fixed Income,"[
  ""Level II"",
  ""Level I""
]","[
  ""2024"",
  ""2023"",
  ""2021""
]",30
Derivatives,"[
  ""Level II"",
  ""Level I""
]","[
  ""2024"",
  ""2021"",
  ""2023"",
  ""2020"",
  ""2022""
]",15
Portfolio Management and Wealth Planning,"[
  ""Level III"",
  ""Level II"",
  ""Level I""
]","[
  ""2023"",
  ""2024"",
  ""2021"",
  ""2018"",
  ""2020""
]",46
DerivativesCorporate Finance,"[
  ""Level I""
]","[
  ""Year Not Found""
]",2
Alternative InvestmentsEconomicsDerivativesQuantitative Methods,"[
  ""Level I""
]","[
  ""Year Not Found""
]",1
EconomicsFinancial Reporting and Analysis,"[
  ""Level I""
]","[
  ""2023""
]",1