TOPIC,MIN_SUMMARY_LENGTH,MAX_SUMMARY_LENGTH
Quantitative Methods,1942,11453
Fixed Income,17,12249
Alternative Investments,17,8429
Derivatives,17,7164
Financial Reporting and Analysis,17,8428
Equity Investments,17,10098
Economics,17,11117
Corporate Finance,17,6279
Ethical and Professional Standards,17,7515
EconomicsFinancial Reporting and Analysis,9489,9489
DerivativesCorporate Finance,17,17
Alternative InvestmentsEconomicsDerivativesQuantitative Methods,17,17
Portfolio Management and Wealth Planning,17,15072